Customer,location,Review
Abhideep,Manassas VA,"I wanted to write a review for make my trip so badly, but never found any place on their website to post it. This summer I booked Golden Triangle Trip through them. Their customer Rep Jitesh Sharma was in contact with me through out the process. We booked 2 nights in Delhi, 3 in Jaipur 1 in Agra and then again 2 in Delhi. On our way to delhi we missed our conecting flight from Paris. i called Jitesh and informed it. So there goes our one night in Delhi. I never asked for refund, nither did he offered it. It was less than 48hrs notice, so there was no point asking it. When we reached Delhi the airport pick up was not arranged. After calling several times, it was arranged. I specifically told him that I did not want any place in Pahad ganj. well he tricked me saying that the hotel was in the center of Delhi. and was close to all the attractions. we satyed in Delhi city center. The hotel was OK but the area was so bad that I thought we would fall sick. Meanwhile as soon as we reached Delhi after the pick up incident Jitesh Sharma dissappeared. All the cell phone numbers he gave me suddenly stopped working. I must have called Make my trip atleast 10-20 times and requested for him. But it was waste.Jaipur hotel was great. Agra hotel Siris was fine. Their bottled water smelled like toilet cleaner and made us sick. I requested them to change my hotel in Delhi, but they did not. Also the places I wanted to shop their driver would not take me. he would make some reason to avoid it and then take to us very expensive shops or restaurants (where 4 chai, 2plates samosa would cost you RS1000). I have booked my air tickets through them. I have a good experience with that. They never emailed me or contacted me for feedback. hope this help."
GurgaonBased,Delhi,"I have used the site on multiple occasions to make flight as well as hotel bookings. No problem at all. If you feel worried, why not book with them and then confirm the ticket directly with the airline.Generally, airlines and travel agents [and even some retailers] ask for a copy of the CC if the transaction exceeds about INR 5000. You can easily give a copy but black out the expiry date and the 4 digit code on the front of the card if your card is AMEX. also, avoid giving a copy of the back of the card if your card is visa or Master since the back contains the 3 digit code. This way no one can transact with the photocopy and the company should be satisfied that you are the real holder of the card.If you notice, most of the negative posts are by persons having only one or two posts!"
GatherinNoMoss,Mumbai,"You are right, Gurgaonbased. There seems to be a sudden proliferation of one time posters all across the India forums either praising or slashing certain travel and tourism service providers. Makemytrip seems to be particularly negatively targeted.I myself have used Makemytrip for booking air tickets with no problem whatsoever.These days though, I get a marginally better deal from my local travel agent (they are small and overheads low)."
myfreerun,INDIA,"I am pretty satisfied with Makemytrip . I received very good attention from their travel executives Chandni and Ashima while fitting out my last minute modified Cairo trip from 1 to 3 of January, even with a cancellation thrown in. Although the charges were marginally on the higher side, the tie-up they gave me at Egypt ( Five star resort-Oasis , good Egyptologist etc) was excellent. I am bowled over by Oasis Resorts- it is slightly off maintown Cairo and nearer the grand pyramids - WOW ! I do not mind paying that bit extra if all my hassles are taken care of so well ! I recommend MMT.I am pretty satisfied with Makemytrip . I received very good attention from their travel executives Chandni and Ashima while fitting out my last minute modified Cairo trip from 1 to 3 of January, even with a cancellation thrown in. Although the charges were marginally on the higher side, the tie-up they gave me at Egypt ( Five star resort-Oasis , good Egyptologist etc) was excellent. I am bowled over by Oasis Resorts- it is slightly off maintown Cairo and nearer the grand pyramids - WOW ! I do not mind paying that bit extra if all my hassles are taken care of so well ! I recommend MMT."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
GatherinNoMoss,Mumbai,"I booked a domestic air ticket with MakeMyTrip yesterday. For a JetKonnect flight, I compared with what my travel agent was offering and what the airline's website itself was offering. I got the best deal at MakeMyTrip. The process was easy and seamless. E-ticket delivered to my mail ID within 5 minutes, alongwith Invoice. My card company confirmed that the amount taken off my card was the same as charged. Difficult to see how a booking can be declared bad after a PNR number has been issued. I shall post again in case something should go wrong.For a SpiceJet flight, I got a marginally better deal (less by Rs. 100) on the airline website. Not received my e-ticket as yet, so have to get back to the website and check whether I am supposed to print it out from the website itself.I do shop around, but was quite satisfied with the MMT experience yesterday, which has even improved quite a bit since my previous experience of booking through them."
qwerty51,IOWA,"AVOID MAKE MY TRIP AT ALL COSTS. They are a sham, they have the worst customer service. They have failed to complete a refund which need to carried out by June 2009 till now (Feb 2010). I have made over 60 calls trying to find out when will I get refund or what has happened. The customer service is absolutely pathetic they have no idea what is happening and keep making promises that I would get my refund within next 8 days every time like a tape recorded message. Kindly pass the message across and avoid make my tripAVOID MAKE MY TRIP AT ALL COSTS. They are a sham, they have the worst customer service. They have failed to complete a refund which need to carried out by June 2009 till now (Feb 2010). I have made over 60 calls trying to find out when will I get refund or what has happened. The customer service is absolutely pathetic they have no idea what is happening and keep making promises that I would get my refund within next 8 days every time like a tape recorded message. Kindly pass the message across and avoid make my trip"
SunjayJK,Gurugram (Gurgaon...,"qwerty please refer to my post on Indian Laws regarding Defamation on the net, and the 1-2 yrs jail term it carriesn as I have noted elsewhere MMT has almost half of online Indian travel market and its v jealous rivals are constantly finding ways to pull it down, to their levels? n the complaints against 'em are almost always by 1-2-3 time posters That said, if you've had genuine probs with them, then my apologies, their rep is here on TA (ID-MakeMyTripHelp), please PM her and let us know the results Peaceqwerty please refer to my post on Indian Laws regarding Defamation on the net, and the 1-2 yrs jail term it carriesn as I have noted elsewhere MMT has almost half of online Indian travel market and its v jealous rivals are constantly finding ways to pull it down, to their levels? n the complaints against 'em are almost always by 1-2-3 time posters That said, if you've had genuine probs with them, then my apologies, their rep is here on TA (ID-MakeMyTripHelp), please PM her and let us know the results Peace"
cyberhippie,Holland,"In the end I rarely listen to reviews on forums such as this, or anywhere else, and always treat complaints with a pinch of salt.The obvious drawback inherent in the advent of the internet is it gives opinion and point of views a huge audience.This coupled with a weakness in the human condition that places great worth in safety in numbers, or if enough people say it it must be true (a spin off from the holy chalice of Democracy)This adds an air of genuine authenticity to what in the end is just a body of opinion.Now I'm not saying opinion is wrong or shouldn't be expressed, but if you think about what I said above, the huge audience forums like this afford people also make it a useful tool for nefarious activities such as trying to rubbish someone's business...I always have this in mind when I read first time posts ragging on a particular Hotel, restaurant or tour compan.I also treat those glowing first time posts for travel agents and driver with exactly the same measure of suspicion and believe me on forums like this that is just as big a problem often from people who should know better.Businesses the world over have throughout history screwed up, and if you do it on a regular basis, traditionally that took a bit of time to trickle down and land you business with a bad reputation that was hard to shake off.The World Wide Web has changed all that, clever manipulation by dissatisfied customer, can leave your reputation in tatters in a few short weeks.Another trait of human kind ""where there's smoke there must be fire"" entails that many will be inclined to believe, and sometime encourage the criticism with some speculative information of their own..\Like Ruff and k-yogi i have enough time spent on forums to be better able to smell a rat, but infrequent user will often be mislead into avoiding a company based on the following equation, it's on a big popular forum + a few people have agreed (distant opinion from other posters also counts) + where there's smoke there's fire = a business to be avoided..This is not to say opinion isn't an integral part of a working Travel Forum and there are also valid criticism on anytravel board, but I hope I've helped people see that there are limitations and the system can be manipulated....Think long and hard before jumping......P.S. one of the advantages of being an independant traveller is we have far more control over how we travel, where we stay and what we eat, a half hour tracking down a hotel by rickshaw is surely more valuable than taking other peoples opinions in order to choose.In the end I rarely listen to reviews on forums such as this, or anywhere else, and always treat complaints with a pinch of salt.The obvious drawback inherent in the advent of the internet is it gives opinion and point of views a huge audience.This coupled with a weakness in the human condition that places great worth in safety in numbers, or if enough people say it it must be true (a spin off from the holy chalice of Democracy)This adds an air of genuine authenticity to what in the end is just a body of opinion.Now I'm not saying opinion is wrong or shouldn't be expressed, but if you think about what I said above, the huge audience forums like this afford people also make it a useful tool for nefarious activities such as trying to rubbish someone's business...I always have this in mind when I read first time posts ragging on a particular Hotel, restaurant or tour compan.I also treat those glowing first time posts for travel agents and driver with exactly the same measure of suspicion and believe me on forums like this that is just as big a problem often from people who should know better.Businesses the world over have throughout history screwed up, and if you do it on a regular basis, traditionally that took a bit of time to trickle down and land you business with a bad reputation that was hard to shake off.The World Wide Web has changed all that, clever manipulation by dissatisfied customer, can leave your reputation in tatters in a few short weeks.Another trait of human kind ""where there's smoke there must be fire"" entails that many will be inclined to believe, and sometime encourage the criticism with some speculative information of their own..\Like Ruff and k-yogi i have enough time spent on forums to be better able to smell a rat, but infrequent user will often be mislead into avoiding a company based on the following equation, it's on a big popular forum + a few people have agreed (distant opinion from other posters also counts) + where there's smoke there's fire = a business to be avoided..This is not to say opinion isn't an integral part of a working Travel Forum and there are also valid criticism on anytravel board, but I hope I've helped people see that there are limitations and the system can be manipulated....Think long and hard before jumping......P.S. one of the advantages of being an independant traveller is we have far more control over how we travel, where we stay and what we eat, a half hour tracking down a hotel by rickshaw is surely more valuable than taking other peoples opinions in order to choose."
myfreerun,INDIA,"I do not agree with qwerty at all, and I have related my own travel experience at Cairo with Make My Trip which is quite pleasant and satisfying. Their travel managers are nice and communicative. To try and throw disrepute upon a strong competitor is not a decent business practice.I do not agree with qwerty at all, and I have related my own travel experience at Cairo with Make My Trip which is quite pleasant and satisfying. Their travel managers are nice and communicative. To try and throw disrepute upon a strong competitor is not a decent business practice."
sunbird2,"Brisbane, Australia","We used this company to pre-book many of our hotels, as we only had 4 weeks of travel and wanted to be sure of bookings for our family. Like this forum I had read good and bad reviews beforehand and decided to take the punt since there was more good than bad. To ensure that we did not arrive at destinations without bookings I made a point of sending emails to the hotels a couple of weeks prior to leaving. We discovered that one of the hotels had not been advised of our booking and we contacted MMT. The operator was extremely apologetic and helpful and everything was organised immediately. As we travel with children it is easier for us to arrive at a place with bookings and I would happily use this company again for that purpose. I also recommend sending emails beforehand to ensure bookings.We used this company to pre-book many of our hotels, as we only had 4 weeks of travel and wanted to be sure of bookings for our family. Like this forum I had read good and bad reviews beforehand and decided to take the punt since there was more good than bad. To ensure that we did not arrive at destinations without bookings I made a point of sending emails to the hotels a couple of weeks prior to leaving. We discovered that one of the hotels had not been advised of our booking and we contacted MMT. The operator was extremely apologetic and helpful and everything was organised immediately. As we travel with children it is easier for us to arrive at a place with bookings and I would happily use this company again for that purpose. I also recommend sending emails beforehand to ensure bookings."
treetime62,treetime62,I paid for 4 nights hotel in Jan 2010... no problem in the fact that the hotel room had been booked and we did have a peasant stay...But on returning to UK I found that they charged me the same amount again ie double charge me And for the life of me Im still stuggling to get it back through total disinterest in replying back to me ...totally infuriating frustratind and total unproffesional behaviourI paid for 4 nights hotel in Jan 2010... no problem in the fact that the hotel room had been booked and we did have a peasant stay...But on returning to UK I found that they charged me the same amount again ie double charge me And for the life of me Im still stuggling to get it back through total disinterest in replying back to me ...totally infuriating frustratind and total unproffesional behaviour
travellite79,Harrisburg...,They have a pathetic customer service. I had to cancel a ticket and they have not refunded the money even after a month. I talked to customer serivice upto a manager level but there was no helpful response.They have a pathetic customer service. I had to cancel a ticket and they have not refunded the money even after a month. I talked to customer serivice upto a manager level but there was no helpful response.
travellite79,Harrisburg...,The customer service is pathetic. I had to cancel a ticket and they have not refunded the money even after a month. I called customer service numerous times but they never respond back properly and sometimes even disconnect the call.The customer service is pathetic. I had to cancel a ticket and they have not refunded the money even after a month. I called customer service numerous times but they never respond back properly and sometimes even disconnect the call.
travellite79,Harrisburg...,The message given by qwert is correct. I had a similar experience. I plan to take legal action against makemytrip for not refunding my money.The message given by qwert is correct. I had a similar experience. I plan to take legal action against makemytrip for not refunding my money.
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
chirag desai,"Ujjain, India",Its Horrible tour company....i have been on swiss paris tour with my mom and they behaved so rudely and inefficiently that i never dreamed.i have been several times to europe but since my mother was with me i thought of taking this tour package.i faced following problemsbehaviour rude...got tickets (internationa) 2 hrs before departure..huge overhead cost in name of flight deviation...paris hotel booking cancelled 5o kms before paris (my tou manager was snatching his hairs)geneva hotel worst...wrote my complains on feed back form of there website 3 times but still no response..u may book airtickets but please dont book a travel package.
Makemytrip_fraud,San Francisco...,"I used makemytrip.com for my trip from USA to India. My warning is - NEVER EVER EVER EVER EVER USE THIS WEBSITE. Reasons.1. They said free unlimited airtickets in india if you book through make mytrip.com - All you need to do is give itenary and pay taxes!  - After booking tickets I called. They said i have 24 hours to send my request. I did for 2 destinations. Guess what? They wanted me to buy tickets as per their list price on website. When you inquire, they follow the following procedure a) Keep you on hold for 3 hours b) Standard statement: "" sorry sir our systems are down"" c) Sorry sir that is the price my system is quoting for taxesWhen you ask why is your website showing taxes as Rs 1200 and you are charging Rs. 4200 for same flight same ticket- they say"" sorry sir our system is down"" Basically drag it out of 24 hour limit they have and say time lapsed.Now your ticket!!!! They book through unrelated airlines with no code share or no business deals ( like kingfisher and Lufthansa). Route you through mumbai. Never tell you that domestic and international airport takes 5 hours to complete formalities. They lied saying that both terminals are in same airport and I need just 2 hours to board plane from domestic terminal. Trust me, It is a lie. My flight was delayed, I was stuck in domestic terminal with no shuttle that came fater 43 minutes i landed. Took 20- 25 minutes to reach international airport. I was late and they refused to check me in. With lot of pleading i did check in and to my horror immigration and security took 2 hours! My experience was Makemytrip is fraud, worst website, with ZERO customer support. if you want to fly from destination A to Destination B and do not care if flight is 3 hours late go ahead. But if you travel international, Makemy trip is not equipped to handle it. They lie, they do not know the rules, their systems is always down( wonder what it even means! for a webiste company) and they use unethical sales/advertising practicies to mislead people. AVOID MAKEMYTRIP.COM LIKE YOU WOULD AVOID the worst company on earth. In my opinion its the WORST OF THE WORST. I would never ever book through it again."
PITT_Traveler_USA,"PIttsburgh, USA","I will stay away from Make my trip -- very bad experience - 1. I was using their online web site and booked a ticket. I get an email confirming the tickets and then i get another email that they were unable to book the tickets. But they charged my credit card. Bad practice -- because they think they can lock you in by taking the money upfront without providing any tickets. 2. I had to call a agent(who seemed to be good) and try to book another ticket (obviously, all the other tickets were +$100 expensive than the ones showed up on the website). They provided the ticket price in USD dollar and when i got my Citi Bank credit card bill -- i see 3% foreign transaction fee. The bill was in USD but still Foreign transaction fee? It seems they are billing the equivalent amount of Rupee in USD and causing foreign transaction fee. They went recently public in NY Stock exchange. i will stay away from investing in that company.I will stay away from Make my trip -- very bad experience - 1. I was using their online web site and booked a ticket. I get an email confirming the tickets and then i get another email that they were unable to book the tickets. But they charged my credit card. Bad practice -- because they think they can lock you in by taking the money upfront without providing any tickets. 2. I had to call a agent(who seemed to be good) and try to book another ticket (obviously, all the other tickets were +$100 expensive than the ones showed up on the website). They provided the ticket price in USD dollar and when i got my Citi Bank credit card bill -- i see 3% foreign transaction fee. The bill was in USD but still Foreign transaction fee? It seems they are billing the equivalent amount of Rupee in USD and causing foreign transaction fee. They went recently public in NY Stock exchange. i will stay away from investing in that company."
brave1,"Kolkata, India","Hi,The Foreign transaction fee is charged by your Bank, in this case Citibank. Almost all banks charge a currency markup on international credit card transactions. Makemytrip has nothing to do with it. For the ticket part though, that's their responsibilty. I hope they respond to your post.Hi,The Foreign transaction fee is charged by your Bank, in this case Citibank. Almost all banks charge a currency markup on international credit card transactions. Makemytrip has nothing to do with it. For the ticket part though, that's their responsibilty. I hope they respond to your post."
Skadi1234,USA,I agree with others that make mytrip.com is the worst website. I am just appalled that a fraudulent company culd go public and makes me wonder about Wall street ethics.Just a sham and a scam. Check out the reviews before using any company. If my idiotic son had googled for reviews we didn't have to deal with this company.I agree with others that make mytrip.com is the worst website. I am just appalled that a fraudulent company culd go public and makes me wonder about Wall street ethics.Just a sham and a scam. Check out the reviews before using any company. If my idiotic son had googled for reviews we didn't have to deal with this company.
chirag desai,"Ujjain, India",Try www.cleartrip.com i found it far better and with my bitter experience of MMT i have made loads of bookings of mine and friends on this site.also www.travelocity.co.in reasonable. but difficult to approach customer care representatives.Try www.cleartrip.com i found it far better and with my bitter experience of MMT i have made loads of bookings of mine and friends on this site.also www.travelocity.co.in reasonable. but difficult to approach customer care representatives.
SunjayJK,Gurugram (Gurgaon...,"Hey Bro, MMT has seemingly indeed messed up your case, but a few such cases are inevitable, with such a huge Mkt Share,sad but true WW; hope MMT considers an apology and refund wherever due, or you can always in Consumer Courts Sue for Refund+Compensation, swift process there, excellent Track Record of these Consumer Redressal Forums, way faster & conclusive than regular Courts  Anger is the worst State of Mind, and with respect...of this Vengeance Trip on MakeMyTrip - it's perhaps time to let go Do you know that in its v recent, this August's NASDAQ Debut it's shares almost doubled within the same day, ""the biggest first-day jump for any U.S. stock since 2007"", the investors in their shares are not idiots, and they are betting on its future not 'cus it'll make money by rip-offs but rather by providing good value and service to millions of its customers www.vcbytes.com/mmt-dream-run-on-nasdaq/ Peace SunjayHey Bro, MMT has seemingly indeed messed up your case, but a few such cases are inevitable, with such a huge Mkt Share,sad but true WW; hope MMT considers an apology and refund wherever due, or you can always in Consumer Courts Sue for Refund+Compensation, swift process there, excellent Track Record of these Consumer Redressal Forums, way faster & conclusive than regular Courts  Anger is the worst State of Mind, and with respect...of this Vengeance Trip on MakeMyTrip - it's perhaps time to let go Do you know that in its v recent, this August's NASDAQ Debut it's shares almost doubled within the same day, ""the biggest first-day jump for any U.S. stock since 2007"", the investors in their shares are not idiots, and they are betting on its future not 'cus it'll make money by rip-offs but rather by providing good value and service to millions of its customers www.vcbytes.com/mmt-dream-run-on-nasdaq/ Peace Sunjay"
Vivek_Singh,"New Delhi, India","I clearly notice a trend, which is already quoted in one of the previous posts- most of the negative posts are written by those who have posted first time.I have booked both flights and hotels on many occasions, and never faced any problem. Whenever I've written to their customer support, they have responded promptly (BTW I didn't expect their response in 5 min).Those complaining about refund: please understand the refund takes place as per airline rules and it takes time. Before shooting negative posts, please have a look at the terms and conditions which is sent to your email. I have also seen people cribbing for refund after booking 'no change no cancellation flights.' You get here what you pay.MMT is the company which has changed the way people travel in India which was full of touts (and still is not free) and travel agent used to quote higher fare to earn high commission.There could be a few cases of goof ups, which can't be avoided looking at the scale of operation. Talk to them, they will sort things out. As already quoted by Sunjay, it has more than 50 per cent market share and it's going to grow looking at the way they are doing things.If you are a future traveller, you can trust this site BLINDLY. If you consider MMT fraud, then you can't trust any other company.This is a deliberate attempt to malign MMT's image and this must not happen. May God bless MMT."
chirag desai,"Ujjain, India","I am a frequent traveller and had booked earlier with MMT and was very happy , but with increasing work and senior staff leaving company now it is a mess. I am very sure of it and in our group almost all had same feeling.The girl named p****** was very arrogant rude and told me that she she thinks i am travelling first time outside europe apart from seeing my two copies of passports.I have complained to feed back section of MMT but no response.in short avoid it unless u have no other options.I am a frequent traveller and had booked earlier with MMT and was very happy , but with increasing work and senior staff leaving company now it is a mess. I am very sure of it and in our group almost all had same feeling.The girl named p****** was very arrogant rude and told me that she she thinks i am travelling first time outside europe apart from seeing my two copies of passports.I have complained to feed back section of MMT but no response.in short avoid it unless u have no other options."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
fongerdonger,Los Angeles,"DO NOT USE makemytrip! BOOK DIRECTLY WITH THE AIRLINE!!I made the mistake of booking with them. They called me the night before my flight (Delhi to Udaipur) to tell me that there was a problem with my credit card and the flight was now full. I now had to book on another (more expensive) flight. I was a little weary because the agent was eager to get my credit card to book the new flight.This turned out to be a SCAM that makemytrip often employs on their customers (as we later found out from a foreign diplomat). They do this in order to bump you from your flight so you'll buy another flight and then sell your original seat to someone else.After multiple phone calls with makemytrip's agents to verify this claim, only to receive the run-around, we made it back to our hotel to jump on the computer.The charges had gone through my credit card no problem and our seats were confirmed on our flight as originally planned.SHAME ON makemytrip FOR TRYING TO SCAM THEIR CUSTOMERS.DO NOT USE makemytrip! BOOK DIRECTLY WITH THE AIRLINE!!"
cdg_01,Boston...,Don't buy from them.They will show one rate on the website and when you try to book they will charge your credit card first and then try to book the ticket with the airlines.if the bookign with the airlines fails your card still gets charged automatically and they take 7-8 days to give you a refund.Plus I had a very bad experience talkign to their Customer support.They will book your ticket with one set of rules and send you an email 30 minutes later with very restrictive rules for the ticket.I don't forsee them survivng long in the US market if they treat their customer is such a shoddy manner.
manup_321,"Austin, Texas","MakeMyTrip is a totally fraud travel site. If anyone has good experience with these people, then they are very lucky. Check this site for true reviews about makemytrip: mouthshut.com/product-reviews/MakeMyTrip.com…MakeMyTrip is a totally fraud travel site. If anyone has good experience with these people, then they are very lucky. Check this site for true reviews about makemytrip: mouthshut.com/product-reviews/MakeMyTrip.com…"
TRV_10,"Columbus, Ohio","Make My Tript is totally a fraus website. I booked a ticket, then I cancelled the ticket. But the dark side is that they are not refunding my money.....I contacted them several times and all the time they said it credited in my account. Since I'm not in India, I'm not able to do anything but sure, once I'll be back to India, surely I'll pull them in consumer court for their fraud.Anyone if has suggestions on how to proceed, please reply."
mmihir82,Los Angeles...,"Almost four months back I booked 5 international tickets thru Makemytrip.com and after the booking the tickets, I have call them to confirm and to make sure that there is no problem, Every time I call them they said that your flight timing is changed.. ITS Really frustrated and with booking a flight with them.. WILL NEVER BOOK A FLIGHT WITH THEM AGAIN..."
traveler20108,"Chicago, Illinois","Beware. They charge you more than what they quote you on tickets with charges like international currency transaction, service fees etc. I have experienced these kinds of additional charges. I tried to talk to their customer service & it seems like they tried to hide something from me. Also if you cancel your ticket, the refund charges are hefty & it takes months to get your own money back!Beware. They charge you more than what they quote you on tickets with charges like international currency transaction, service fees etc. I have experienced these kinds of additional charges. I tried to talk to their customer service & it seems like they tried to hide something from me. Also if you cancel your ticket, the refund charges are hefty & it takes months to get your own money back!"
Daniel M,Santa Monica...,I agree with these other posters - *never use MakeMyTrip*. You are asking for a world of problems. It is not worth it. They are a fraud.I agree with these other posters - *never use MakeMyTrip*. You are asking for a world of problems. It is not worth it. They are a fraud.
Ashu B,"New Delhi, India",Normally you an send them the front copy. I think they want to verify some details. Do not send CVC code. Its a good and reputed site.Normally you an send them the front copy. I think they want to verify some details. Do not send CVC code. Its a good and reputed site.
Fujiye,Los Angeles...,Were the flights that you booked through makemytrip.com domestic or international? Did you book through the internet or by phone?
adamsapple34439,"Miami Beach, Florida",In short I had a horrible experience due to rude staff of make my trip. they created a mess of my reservation and even hung up and did not fix my reservation. I would not rely on them againIn short I had a horrible experience due to rude staff of make my trip. they created a mess of my reservation and even hung up and did not fix my reservation. I would not rely on them again
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
