Customer,Date,Review
"Nishi of Pune, Other"," July 31, 2019","BOOKING ID: **. We were a group of four girls and had booked a suite room in Citrus Chambers, Mahabaleshwar from 27/07/2019 to 28/07/2019, for four people through MAKE MY TRIP ONLINE PORTAL. While booking, we had specially written that the room should be for four people and pictures of two different rooms with different bed sheets and slightly different interiors in a single suite were shown to us on the MMT site. Accordingly believing that the suite room is with two bedrooms we booked the said suite for four people for a rate of Rs 14000 per night. "
"Mukesh of Nagpur, Other"," July 28, 2019",This is fraud app and don’t have proper customer care service..Customer care is **. They just provide wrong information to you. Even mmt shows that guest are allowed. Hotel will deny check-in. I paid 1300inr to go from station to Hotel Unity for return trip which was waste. MMT misguide and don’t have solution in hand. I was waiting for call for three hours and resolution got after 6 hours..not even alternate hotel. I got refund so after taking 1500inr refund I had to pay 3500 at one hotel.
"Lalit of Narwana, Other"," July 28, 2019","My friend and I planned our weekend trip in outskirts of Delhi on 27 July to 28 July on MakeMyTrip app. While searching on MakeMy Trip I applied filter of resort and swimming pool, got some options and checked amenity of swimming pool. I selected resort Ashok Country Resort, 30, Rajokri Road, Kapas Hera, New Delhi, in which amenity of swimming pool was shown on MMT App. I booked Ashok Country Resort and checking in said hotel on 27/07/19 at around 6:45 pm on pay at hotel option. "
"Elsa of Bangalore, Other"," July 27, 2019",I am a student travelling for the first time to USA and I booked a flight via MakeMyTrip to Detroit. I booked the flight about 2 months early. The flight was scheduled to take off in Bangalore with layovers at Abu Dhabi and Rome. The flight was operated by Etihad till Abu Dhabi and by Delta Air Lines till Detroit. MakeMyTrip DID NOT INFORM ME of any transit visa that may be required. After about 1 month I was told by a friend that on calling Etihad Airways she was informed that since Etihad and Delta have no baggage agreement I will have to re-check in my baggage at Rome. Due to this I would require a transit visa.
"Nirmal of Mumbai, Other"," July 26, 2019","Booking is easy but updated information regarding agents are not available from MMT. No one take follow up from mmt or agent site. Tracking team is not working properly, due to this customer always suffer on online booking, especially bus booking on mmt. Customer care is very bad experience for me. They not give proper response. They also not known about case resolve situations. Only say ""I raise your complain"". But not any notification or complain no raise by them. My money is already paid but this will be recover or not, I don't know. I take effort for my own money. This is very painful."
"Bobby of Halifax, NS"," July 25, 2019","If you are abroad and need to contact them for anything whatsoever, don't even try. There is no way you can contact them, all emails bounce back, you cannot chat with them unless you have an Indian tel number. I managed to contact them on the phone once (after numerous attempts), got through to one chap who says he cannot help and to email them on supportz@makemytrip.com. Did that, immediately bounced back. Tried various other email IDs I could find on the internet but all bounced back! I have given up on trying to cancel and get a refund of my multiple domestic tickets (family of four) and will swallow the loss. Never again - MAKEMYTRIP!"
"Divya of Westfield, IN"," July 18, 2019","I booked railway tickets from MakeMyTrip but they were on wait list for quite some time. I decided to cancel the tickets since I made alternate arrangements. We needed confirmed tickets. When I went to the MakeMyTrip website, there is no option available for customers to cancel railway tickets booked from their website!! I called the listed customer service number twice: ** - and both times I was on hold for over 30 mins and no one came to the phone! There is no email id, no chat session - nothing available from the USA version of the website. Same thing on the India version of the website. I am yet to find out how to get these tickets cancelled, no clue so far. I am stuck with these tickets."
"Abhishek of Mississauga, ON"," July 18, 2019","I had written a review detailing my stay with the hotel. MakeMyTrip took over 1 month to publish the review. They took out whatever they wanted and only allowed what was mutually beneficial to the hotel and the booking agent - MakeMyTrip. However, the Hotel replied to my review and directly insulted my female guest by stating she was an unsocial guest! In other words, my to be wife is now a prostitute to the opinion of this hotel! Why is it that the business partner (Hotel) of MakeMyTrip, gets to state whatever they want in their response to prevent embarrassment from factual events? But a customer is not allowed to state the facts so other consumers are aware of the issue. Consumers should have the right to give honest feedback."
"Affreen of Other, Other"," July 16, 2019","I booked for Ladakh Holiday package of 6N/7D on Jul 8, 2019 and made the payment of Rs, 10,000 on the same day. Then immediately realized that I cannot go on the said dates as there was something else which came up. I immediately called-up MakeMyTrip and asked them to cancel the trip, to be precise asked to cancel the trip on Jul 9, 2017 and asked for refund. They denied any refund stating as per policy any initial partial payment is non-refundable. I requested them as I have asked for cancellation the very next day after the payment and they would not have done any kind of arrangement for my travel in those 24hrs (I did not get any flight ticket booking as proof of their booking my travel). Still they denied any refund saying as per policy they cannot refund the Rs. 10,000."
"Kapil of Delhi, Other"," April 22, 2019",Hello Friends. I am Kapil & I am sharing a my experienced with MakeMyTrip. MakeMyTrip is a Fraud Company. They have no value of words. All Management are so irresponsible and faked. According to me don't use MakeMyTrip for any travels because there are loot Money and given by bad service.
"Krishna of Pune, Other"," April 21, 2019","I have booked ticket through guest user, after successful payment I have not received ticket details on 3rd April with travelling date of 15th and 18th April. After 2 days I contact customer care, they were not able to find any transaction with details of mail, contact no., traveller name, secondary mail. Customer care executive was unable to find any ticket details throughout week. (All conversation on Call and some of on mail). One of executive told that, ""Sir ticket is not cleared. MMT has initiated refund on 5th April."" So checked with bank, but bank has denied. Send statement to MMT for cross check. I have sent mail on 14th, 16th & 18th April. Send mail to MMT for refund status."
"Biswajeet of Chandapura, Other"," April 19, 2019","Would like to show a classic case how MMT (MakeMyTrip) cheats consumers? Here's a case - if you're in a hurry for a Tourist VISA & book an international flight via MakeMyTrip, you'll go for a Travel Insurance like in Schengen countries it's mandatory. Interestingly their same ""Apollo Munich"" company insurance for domestic sectors has ""trip delay & cancellation"" + much more clauses than mere 11 clauses in International segment but they charge you a real high premium (straight double premium than their rivals/partners, compare before you go for them) for a small sum-assured in the latter segment. They don't even share the plan with you. Seemingly in most cases, flights get delayed in International Segment which they have not smartly covered as a clause where in you should be eligible to claim."
"Yaseen of Dubai, OTHER"," April 19, 2019","Hello all. Please do not waste your valuable time and money to make any booking on MakeMyTrip. The company has ZERO customer service. No one replies to emails, management emails bouncing back. Chat is like graveyard, and you are trying to chat with dead people. I have very bad experience and I lost my money. So please don't waste your time and money."
"Aman of Delhi, Other"," April 19, 2019","I booked this hotel through MakeMyTrip. Hotel name was ONE HOTELS IN CORBETT. I made full payment in advance for 2 cottages. However, on reaching the hotel I was shocked to see the pathetic condition. SEEPAGE ALL OVER IN THE ROOMS and dining area. Undergarments hanging in the balcony. We were 2 families with kids so decided not to stay there and stayed in some other hotel. I want full refund of my booking as the quality of the service provided by MMT is not up to the mark."
"Nisha of Raipur, Other"," April 18, 2019",I will summarize the worst experience of the hotel 'The Rink Pavallion' Mussorie in following points.
"Akriti of Mumbai, Other"," April 18, 2019","Hi, I booked a hotel in Trivandrum and was denied check in because the hotel did not receive that amount. It was 11pm in the night and I was travelling alone. I had a early morning flight from here and from 8:30 pm I was waiting for the customer care to get back to me. I made 5 calls to them all with the promise of getting a call back from them within 15 mins. Forget a call back each time. The executive on the phone was apologetic and very prompt in transferring my call and that is all I got from them. I am a woman and the treatment from MMT I got was just not correct. My constant tweets or phone calls none got them to respond. Don't know how MNC can treat their customers this way. #frustrated and #helpless. Regards, Akriti."
"Ashwini of Other, Other"," April 18, 2019","Hello Team, I made a booking with MakeMyTrip. Paid 90 pounds per day for hotel in London. The images shown very fake of the rooms. MakeMyTrip is not reliable. And fake. I will suggest all my family members and friend not to book with MMT."
"Veeraj of Other, Other"," April 17, 2019","I was trying to book a flight ticket through MakeMyTrip app and it threw an error in the last screen. It happened twice so I switched to a different app and booked my ticket. To my surprise, I got an email from MakeMyTrip saying my booking is confirmed. I got shocked because app had failed and I never entered the OTP for credit card transaction. When I called MMT support, they said transaction is successful. When I asked them how, they said since I had the card information saved in the app it pulled the money directly from there without asking me for any OTP. They hung up the call saying that. When I tried to call their support again, I found that they had blocked me from calling them through their IVR system. I can't reach their support at all now. Fraudulently they sucked money from my credit card and now I have no one to complain."
"S of Bengaluru, Other"," April 15, 2019",We had a horrible experience with the outstation cab we booked through MMT. I am writing this so that other can also learn a lesson. First of all the driver sent by MMT was just 19 years old without any commercial driver license (which we got to know later during the trip) and we were going to Ooty where an expert driver can drive. We realized later that if any accident would have happened who would have taken the responsibility. Second the driver pretended he did understand Hindi nor English no even the word “stop.” Second day we hear him speaking Hindi nicely so he was lying. He did a lot of other annoying things that we ignored. 
"Bhavik of Anand, Other"," April 13, 2019","I have booked 2 rooms in one of the resort from MMT app. I have booked room after I saw room pics in MMT app. However, when I arrived resort, I was surprised with the room given to me. The room does not have space and arrangements as to what can be seen in app. I contacted MMT support for 7-8 times to get things verified and to get this sorted with help but I have not received any help neither callback. I have also sent the images of room via email but to no avail. Really disappointed with the services."
"Ricky of India, Other"," April 12, 2019",Booked a flight with this company. They did not correctly spell the name. They issued an e-ticket for the wrong time. There was no flight at time issued on the ticket. I phoned and e-mailed many times to get this resolved. Staff lack of interest in resolving anything. I did travel on the flight as all the details were incorrect due to negligence of this company. If anyone is reading this PLEASE DO NOT USE THIS COMPANY for any of your bookings as you will suffer financially and stress in resolving any issues.
"Hasitha of Dublin, Other"," April 11, 2019",They don't take any responsibility at all. When the airline cancelled their flight in a transit airport. They said that they would refund the booking amount after talking to them for 2 hours on the phone and not give a different flight or hotel to stay in. We had to pay double price to make a booking with different airlines and 4 days of hotel stay price. Worst agency ever. Stay away from this site.
"Lakshmi of Greensboro, NC"," April 11, 2019",They are a hoax. This is the worst ever travel agency. They are the least helpful and worst customer service ever. They cancelled a part of a reservation and never bothered to email me. I had to book a separate ticket directly with an international airline.
"Devadath of Cumming, GA"," April 7, 2019","I try to book a ticket through this site and it charged my card and gave me the message below. ""Your booking has failed. We are sorry, your booking has failed however your card has been charged. Your payment has been sent for refund processing and you will receive it back in 3 working days."" As booking failed I decided to book tickets through a different site and then 12 hours later MakeMyTrip.com went ahead and booked ticket. Now I have another set of tickets for my travel and has been more than 5 days waiting for refund for their goof up. Please keep off from this site for any booking. Thank you."
"Shruthi of Bengaluru, Other"," March 29, 2019","We wanted to book a hotel closer to Grant Medical College. The address showed on MMT website while booking was 2 km from the college and they also matched the confirmation message sent to us on WhatsApp. However, the hotel booked by MakeMyTrip was 60km away from actual place. When we tried to contact MMT, no phone numbers were working, not even the one provided on the booking invoice! "
"Jitesh of Agra, Other"," March 28, 2019",I booked a flight ticket for going to my sister's marriage. Due to some reason marriage date is changed. Two time I called to company to to reschedule the date every time the change the penalty price and now they the price of penalty is equal to the flight ticket. I gave the worst review to the MakeMyTrip. It's my first time and so-called last time also. I prefer the other brand because they never disappoint me. If there are zero rating I definitely give it zero.
"Simar of Montreal, QC"," March 26, 2019","I made a booking with MakeMyTrip. When I got my itinerary in 3 hours. I noticed that they have misspelled my name on the ticket. When I tried to contact them back, it took me 2 hours to get in contact with the agent. Also, in spite of helping me have correct name, she said you have to get a new ticket by paying whole amount again. Not only this, she said MakeMyTrip will charge 20,000/- INR to cancel previous booking. It was not even 12 hours when I booked my flight. When I tried to check out that why do I have to lose so much money, she hang up on my face. So, people please never book flight with MakeMyTrip. Worst service I ever came across. Save your money. Book with others not MakeMyTrip."
"Abhishek of Other, Other"," March 26, 2019","I have recently booked a hotel booking of 2 two Rooms through MakeMyTrip. After making the payment, I got a message that the hotel in a pending status, will get the confirmation within 2 hrs. I received a message within 30 seconds that 1 room has been confirmed and one of them has been cancelled due to some technical error. I called them regarding the same issue within 5 minutes and they are not were of no help. I was told to book it again at the new price which was a rs 15000 more expensive. "
"Jyothi of Other, Other"," March 25, 2019",I booked hotel at Coorg through MakeMyTrip app. It was OYO room at Hill View Hotel. Next day I received SMS from OYO asking me to pay advance amount to confirm my booking & I paid. In spite of payment I received SMS one week later that my booking cancelled for non receipt of payment. My hectic efforts to resolve my issue went in vain as neither MakeMyTrip nor OYO responding properly.
"Jay of New York, NY"," March 22, 2019","I booked ticket from Kathmandu to Delhi. In the e-ticket was written that the cancellation fee will be 2530 and MakeMyTrip fee will be 649. But, when I need to cancel the ticket, they added convenience fee of about 900 extra. They do not clearly."
"Sanjeev of Greater Noida, Other"," March 22, 2019",Fraud in cancellation charge. Very bad agency. After cancellation airlines returned 9000 rupees but MakeMyTrip returned me 90 rupees. It is totally fraud. I request you please do not book ticket through this agency.
"François of Other, Other"," March 21, 2019","Every dealing with MakeMyTrip is a source of problem, The system doesn't recognize international numbers and it remembers a wrong 10 digits number you are supposed to know, if not the call centre doesn't answer your calls! The system blocked my computer IP so that I can't login anymore. The chat system only answers stupid basic questions and never transfers you to an agent. When you finally manage to talk to a commercial agent, he doesn't transfer you to technical support, and only tells you ""wrong number"" and hangs up. If you are an international traveller and have LOTS of time and money to waste, buy your next flight or hotel through MakeMyTrip.com."
"Vinay of Bangalore, Other"," March 21, 2019","I had booked cab for midnight 3am. Cab driver did not received call, MMT not ready to refund also, booking ID NC **. Loss of money & time. I waited till morning but still driver did not pick up my call. I spent money double to reach my place, I will never suggest MMT to my friends and family."
"Sandeep of Pune, Other"," March 20, 2019","I have booked flight return tickets to Stockholm, Sweden. But once I reached Sweden need to change return flight but not able to contact customer support over telephone on provided numbers and trying to change online but it's not working. After sale service is so much pathetic. Suggesting not to buy return tickets on MakeMyTrip."
"Ravi of Other, Other"," March 20, 2019",I booked an international flight and due to auto fill option my name was spelled wrongly and it's been 8 days and am still chasing them to do the needful. Called at least 15-20 times and every agent says he will do it straight away and no one tends to follow up. Seriously MMT is full of crap.
"Neha of Other, Other"," March 20, 2019","I booked Saffron Stays at Matheran through MakeMyTrip, for which I paid Rs.6300 for 1 person. After some time on the same day, I have modified my booking and added one more guest. For adding the guest, they have considered my earlier booking as cancelled and charge me again for new booking. If I am not changing the date, why they considered it as cancelled. Rules for cancellation, Modification and addition of extra guests should be different. They charge penalty for cancellation or date of change is okay. But if I am adding the guest within 15 min, then they can't consider it as cancelled. It’s just a tactic for incurring the more money. They are just Fooling the customers like this."
"Alok of Other, Other"," March 19, 2019",I reserved bus ticket from Moradabad to Lucknow on 20/03/2019 at 12am. Now it is 1:45 am at boarding point. There is no any update regarding my bus. I have only my MMT PNR numbers which is meaningless for anyone. For MMT you are starting loot.
"Suhas of Other, Other"," March 19, 2019","I have booked holiday package from MakeMyTrip. During booking they committed your trip will be memorable. Yes this is very true, my trip was memorable but not good view. It's bad view. Very bad experience during trip with their travel Partner Amara Travel from Chandigarh. Driver is only working for commission. Wherever they got the commission they stop vehicle on that places."
"bvs of Hyderabad, Other"," March 19, 2019","Hi guys, I will suggest all my buddies never ever book or plan trip through MakeMyTrip. These guys suck all the time without any results. They will give complete wrong itinerary (Given wrong itinerary). HYD to London connecting flights at Mumbai which was overlapped one upon other (Hyderabad flight reach Mumbai at 10:30 AM but London flight starts from Mumbai at 9:30 AM. This was their itinerary after booking.) and will not provide any updates at all. Big cheaters and loot all our money, I think they are good at fool all the people. I also know that my review is not going to change anything???"
"Vikas of Pune, Other"," March 14, 2019","I booked ticket for 9th Mar at 8th Mar for 750 rupees in the morning and cancelled at 1:20 at the same day. This ** given me refund of 50 rupees out from 750, penalty as 700, none of the sites having the same, and will never use the same and recommend to all not to use."
"Rakesh of Bengaluru, Other"," March 11, 2019","Hi guys, please never ever book or plan trip through MakeMyTrip. These guys suck big time. There is no zero otherwise I would prefer it. They just loot the money without proper planning and never ever believe their itinerary. It's all lie. I don't know how they are managing to fool people, and I also know our review it's going to change nothing???"
"Suyash of Nha Trang, Other"," March 8, 2019",I have been trying to resolve an issue with them since 10th February when they booked us into a hotel which doesn’t exist in BANGKOK. I have been trying to get my money back since then but these people forgot to learn about customer experience. Forget about the apology or the compensation. I have been begging to get my money back which I paid for invisible hotel but they are waiting for me to get tired and forget about the issue. I even copied their CEO and rest of the management team into emails but they are too busy cheating their consumers.
"Bharat of Mumbai, Other"," March 8, 2019",I booked a Phuket holiday package for me and my wife through MMT for our wedding anniversary which was plan all of sudden 3 days before trip. I spoke to MMT team and they gave me offer which I felt was best for this sudden international trip. Everything was great till I landed in Phuket. I waited almost 2 hours at airport as they were waiting for other passenger to arrive. This was one incident which seems normal as it was already mentioned that pick up and drop was on share basis. Once I reached at hotel I felt like I am going to check in some kind of basic rooms 2 star property instead of a 4 star property which was promised in my package. Anyways it was a 3 star (as per Google) property. Not a 4 star (A big lie by MMT team). 
"Jyoti of Santa Clara, CA"," March 6, 2019",They totally fooled us. The customer services have no knowledge about booking flights keeping us on hold for ton of hours. Very bad service. We didn't receive refund for the flight cancellation. Please save time and money. Avoid this company.
"Preethi of Bangalore, Other"," March 5, 2019","We recently had a family trip to Singapore (4N5D) and I had no clue I would face such bad experiences. The service was so bad. No proper communication. All the pick up from the hotel would be delayed but they expect you to come on time while dropping back. Hotel they had booked had such bad rooms. I would REALLY NOT recommend MMT. They have all the jazz before we make the booking, give you all the fancy itinerary, but everything changes once the full payment is made. I can go on and on with the bad experiences!!"
"Sreejith of Thrissur, Other"," March 4, 2019","I had booked a ticket from Kochi to Manchester and back for the 15th of March and 23rd of March respectively. Due to unforeseen problems, I had to change my dates. I ended up calling their customer care for a quote. I was pleased to know that it could be done for around 12000 RS. I repeatedly asked them what was the total cost and they assured me it was about 12000 RS. Imagine my horror when, after I had paid 12000 by credit card, they inform me that that was for a single flight and the total comes up to 38000. Had I known, it would have been easier to just book another flight. One of my worst experiences ever."
"Fedup of Bangalore, India"," March 3, 2019","Issue 1: The first serious problem occurred when I made a booking from Kolkata to Delhi. I checked fares and flights for Feb 27, 2019, but each time I would try to book and pay, the date grabbed by makemytrip.com website would be Mar 27. I tried this several time and finally saw that Feb 27th was selected. However after I paid, the ticket indicated a date of March 27, 2019. I discovered this only on reaching the airport."
"Deepti of San Francisco, CA"," March 1, 2019","I'm so disappointed in putting down my review on how bad my experience is with MakeMyTrip! They suck! I've booked my tickets from USA to India, needed help with date change as I had an emergency and would not be able to make it on the previous dates I booked. These guys have the worst customer service! They are super annoying and neither of them has any knowledge on what to do to get things going. I've been trying to get them to finish my job from the last 10 days and only to my disappointment that the process still continues. Extremely unprofessional and ridiculous!"
"Rupesh of Goa, Other"," Feb. 28, 2019","I was planning to book a hotel room for vacation. Checking the room on MMT website, will list many amenities. But when we checked that with the hotel, we were informed that they do not have that amenity for those rooms. MMT just uses fake and false data to attract people. Kindly check hotel Country Inn and Suites by Radisson in Mussoorie. MakeMyTrip shows all rooms with bathtub facility to attract customer whereas if you check with the hotel, hotel gives the knowledge that they have this amenity only for suites and not for superior and duplex rooms."
"Prasanna of Bangalore, Other"," Feb. 28, 2019","Makemytrip recently credited a UDF refund amount of Rs. 1057 into ""My Cash Account"". This UDF refund was due to a Govt policy change related with Delhi Airport. (My flight was in the sector BLR-DEL-BLR.) As a customer I had paid cash to purchase the ticket at a specific price. Further the Government implemented a policy change resulting in a refund of certain amount. Instead of paying back the refund amount to the customer Makemytrip holds our money in what they call ""My Cash Account"" merely POINTS. The customer has no choice but to purchase additional services from Makemytrip in order to avail the refund. This is a shameless business strategy to say the least. If this is not cheating what else could this be? Hope the Govt. authorities take notice of this. It's not merely about announcing policy changes but to ensure that consumers get their dues."
"Mandeep of Punjab, Other"," Feb. 27, 2019","My name is Mandeep ** my contact no **. MakeMyTrip not return my money with one month not refund my money. I call daily MakeMyTrip. He no received phone no talk us. 30 January I book ticket 2 passengers Delhi to Amritsar no received booking ID, no received ticket, my money deduct my sbi card 3490. He no return. Fake site. MakeMyTrip no service good. No staff good. Anybody no make any ticket from MakeMyTrip."
"A. of Berea, Other"," Feb. 25, 2019","I purchased 4 multi-city tickets from Mumbai to Bangkok, to Cochin to Mumbai. Within a few hours, the price dropped drastically. I spoke to an agent on live chat who asked me to rebook and pay again and I will get a refund of my 1st purchase after 6 days. I don't have that amount of money, and how sure am I that I will be refunded within that time frame, I live in South Africa and cannot call them. This is very deceiving as according to their website, prices were supposed to go up later today, but quite the opposite. Their policy of a refund of 10x the difference, is not applicable."
"Nitin of Vikaspuri, Other"," Feb. 25, 2019","Please take care while making International Hotel bookings. My card got charged and didn't got any booking confirmation. Waited for 2-3 hours. After that they told, “We have not received payment from bank. Your payment will be reverted in your card in 2-3 working days. From our end the booking is cancelled. You can kindly book again.” I booked again. The same thing happened again. Card deducted and didn't get any confirmation message or mail. Again same repeated words from the customer care. Wait for 2 hours. I didn't see this kind of pathetic service at any moment lately. I deleted the MakeMyTrip app from my phone, so as never use it again."
"Subhash of Other, India"," Feb. 25, 2019",My marriage got postponed due to unavoidable circumstances just 2 days before the scheduled date and so I informed MMT guys immediately to change the date and now they are charging Rs. 31000 extra apart from Rs. 98000 which I already paid.
